symbol;name;exchange;assetType;ipoDate;delistingDate;status
A;Agilent Technologies Inc;NYSE;Stock;18/11/1999;;Active
AA;Alcoa Corp;NYSE;Stock;18/10/2016;;Active
AAC;Ares Acquisition Corporation - Class A;NYSE;Stock;25/03/2021;;Active
AAC-U;Ares Acquisition Corporation - Units (1 Ord Share Class A & 1/5 War);NYSE;Stock;02/02/2021;;Active
AAC-WS;Ares Acquisition Corporation - Warrants (01/01/9999);NYSE;Stock;25/03/2021;;Active
AACG;ATA Creativity Global;NASDAQ;Stock;29/01/2008;;Active
AACI;Armada Acquisition Corp I;NASDAQ;Stock;10/11/2021;;Active
AACIU;Armada Acquisition Corp I - Units (1 Ord & 1/2 War);NASDAQ;Stock;13/08/2021;;Active
AACIW;Armada Acquisition Corp I - Warrants (13/08/2026);NASDAQ;Stock;11/11/2021;;Active
AACT;Ares Acquisition Corporation II - Class A;NYSE;Stock;12/06/2023;;Active
AACT-U;Ares Acquisition Corporation II - Units (1 Ord Class A & 1/2 War);NYSE;Stock;21/04/2023;;Active
AACT-WS;Ares Acquisition Corporation II - Warrants (01/01/9999);NYSE;Stock;12/06/2023;;Active
AADI;Aadi Bioscience Inc;NASDAQ;Stock;08/08/2017;;Active
AAIC;Arlington Asset Investment Corp - Class A;NYSE;Stock;23/12/1997;;Active
AAIC-P-B;Arlington Asset Investment Corp;NYSE;Stock;16/05/2017;;Active
AAIC-P-C;Arlington Asset Investment Corp;NYSE;Stock;06/03/2019;;Active
AAIN;Arlington Asset Investment Corp;NYSE;Stock;19/07/2021;;Active
AAL;American Airlines Group Inc;NASDAQ;Stock;27/09/2005;;Active
AAMC;Altisource Asset Management Corp;NYSE MKT;Stock;13/12/2012;;Active
AAME;Atlantic American Corp;NASDAQ;Stock;07/09/1984;;Active
AAN;Aarons Company Inc (The);NYSE;Stock;25/11/2020;;Active
AAOI;Applied Optoelectronics Inc;NASDAQ;Stock;26/09/2013;;Active
AAON;AAON Inc;NASDAQ;Stock;16/12/1992;;Active
AAP;Advance Auto Parts Inc;NYSE;Stock;29/11/2001;;Active
AAPL;Apple Inc;NASDAQ;Stock;12/12/1980;;Active
AAT;American Assets Trust Inc;NYSE;Stock;13/01/2011;;Active
AAU;Almaden Minerals Ltd;NYSE MKT;Stock;20/12/2005;;Active
AB;AllianceBernstein Holding Lp;NYSE;Stock;15/04/1988;;Active
ABBV;Abbvie Inc;NYSE;Stock;02/01/2013;;Active
ABCB;Ameris Bancorp;NASDAQ;Stock;19/05/1994;;Active
ABCL;AbCellera Biologics Inc;NASDAQ;Stock;11/12/2020;;Active
ABCM;Abcam;NASDAQ;Stock;03/12/2010;;Active
ABEO;Abeona Therapeutics Inc;NASDAQ;Stock;19/09/1980;;Active
ABEV;Ambev S.A.;NYSE;Stock;05/03/1997;;Active
ABG;Asbury Automotive Group Inc;NYSE;Stock;21/03/2002;;Active
ABIO;ARCA biopharma Inc;NASDAQ;Stock;08/08/1997;;Active
ABL;Abacus Life Inc - Class A;NASDAQ;Stock;14/09/2020;;Active
ABLLW;Abacus Life Inc - Warrants (30/06/2028);NASDAQ;Stock;14/09/2020;;Active
ABLV;Able View Global Inc - Class B;NASDAQ;Stock;12/09/2022;;Active
ABLVW;Able View Global Inc - Warrants (17/08/2028);NASDAQ;Stock;18/08/2023;;Active
ABM;ABM Industries Inc;NYSE;Stock;19/07/1984;;Active
ABNB;Airbnb Inc - Class A;NASDAQ;Stock;10/12/2020;;Active
ABOS;Acumen Pharmaceuticals Inc;NASDAQ;Stock;01/07/2021;;Active
ABR;Arbor Realty Trust Inc;NYSE;Stock;07/04/2004;;Active
ABR-P-D;Arbor Realty Trust Inc;NYSE;Stock;26/05/2021;;Active
ABR-P-E;Arbor Realty Trust Inc;NYSE;Stock;05/08/2021;;Active
ABR-P-F;Arbor Realty Trust Inc;NYSE;Stock;05/10/2021;;Active
ABSI;Absci Corp;NASDAQ;Stock;22/07/2021;;Active
ABST;Absolute Software Corporation;NASDAQ;Stock;28/10/2020;;Active
ABT;Abbott Laboratories;NYSE;Stock;06/04/1983;;Active
ABUS;Arbutus Biopharma Corp;NASDAQ;Stock;03/08/2015;;Active
ABVC;ABVC BioPharma Inc;NASDAQ;Stock;11/10/2017;;Active
AC;Associated Capital Group Inc - Class A;NYSE;Stock;01/12/2015;;Active
ACA;Arcosa Inc;NYSE;Stock;30/10/2018;;Active
ACAB;Atlantic Coastal Acquisition Corp II - Class A;NASDAQ;Stock;09/03/2022;;Active
ACABU;Atlantic Coastal Acquisition Corp II - Units (1 Ord Class A & 1/2 War);NASDAQ;Stock;14/01/2022;;Active
ACABW;Atlantic Coastal Acquisition Corp II - Warrants (13/01/2027);NASDAQ;Stock;07/03/2022;;Active
ACAC;Acri Capital Acquisition Corp - Class A;NASDAQ;Stock;08/08/2022;;Active
ACACU;Acri Capital Acquisition Corp - Units (1 Ord Class A & 1/2 War);NASDAQ;Stock;10/06/2022;;Active
ACACW;Acri Capital Acquisition Corp - Warrants (01/02/2029);NASDAQ;Stock;15/12/2020;;Active
ACAD;Acadia Pharmaceuticals Inc;NASDAQ;Stock;27/05/2004;;Active
ACAH;Atlantic Coastal Acquisition Corp - Class A;NASDAQ;Stock;28/04/2021;;Active
ACAHU;Atlantic Coastal Acquisition Corp - Units (1 Ord Share Class A & 1/3 War);NASDAQ;Stock;04/03/2021;;Active
ACAHW;Atlantic Coastal Acquisition Corp - Warrants (02/03/2026);NASDAQ;Stock;29/04/2021;;Active
ACAQ;Athena Consumer Acquisition Corp - Class A;NYSE MKT;Stock;13/12/2021;;Active
ACAQ-U;Athena Consumer Acquisition Corp - Units (1 Ord Share Class A & 1/2 War);NYSE MKT;Stock;20/10/2021;;Active
ACAQ-WS;Athena Consumer Acquisition Corp - Warrants(31/07/2028);NYSE MKT;Stock;10/12/2021;;Active
ACAX;Alset Capital Acquisition Corp - Class A;NASDAQ;Stock;24/03/2022;;Active
ACAXR;Alset Capital Acquisition Corp;NASDAQ;Stock;24/03/2022;;Active
ACAXU;Alset Capital Acquisition Corp - Units (1 Ord Class A & 1/2 War & 1 Right);NASDAQ;Stock;01/02/2022;;Active
ACAXW;Alset Capital Acquisition Corp - Warrants (31/01/2027);NASDAQ;Stock;24/03/2022;;Active
ACB;Aurora Cannabis Inc;NASDAQ;Stock;11/07/2014;;Active
ACBA;Ace Global Business Acquisition Ltd;NASDAQ;Stock;26/05/2021;;Active
ACBAU;Ace Global Business Acquisition Ltd - Units (1 Ord & 1 War);NASDAQ;Stock;06/04/2021;;Active
ACBAW;Ace Global Business Acquisition Ltd - Warrants (26/03/2026);NASDAQ;Stock;21/05/2021;;Active
ACCD;Accolade Inc;NASDAQ;Stock;02/07/2020;;Active
ACCO;Acco Brands Corporation;NYSE;Stock;17/08/2005;;Active
ACDC;ProFrac Holding Corp Class A;NASDAQ;Stock;13/05/2022;;Active
ACDCW;ProFrac Holding Corp - Warrants (09/11/2023);NASDAQ;Stock;02/11/2022;;Active
ACEL;Accel Entertainment Inc - Class A1;NYSE;Stock;21/11/2019;;Active
ACER;Acer Therapeutics Inc;NASDAQ;Stock;22/09/2017;;Active
ACET;Adicet Bio Inc;NASDAQ;Stock;26/01/2018;;Active
ACGL;Arch Capital Group Ltd;NASDAQ;Stock;14/09/1995;;Active
ACGLN;Arch Capital Group Ltd;NASDAQ;Stock;03/06/2021;;Active
ACGLO;Arch Capital Group Ltd;NASDAQ;Stock;15/08/2017;;Active
ACHC;Acadia Healthcare Company Inc;NASDAQ;Stock;04/03/1994;;Active
ACHL;Achilles Therapeutics Plc;NASDAQ;Stock;31/03/2021;;Active
ACHR;Archer Aviation Inc - Class A;NYSE;Stock;18/12/2020;;Active
ACHV;Achieve Life Sciences Inc;NASDAQ;Stock;13/10/1995;;Active
ACI;Albertsons Companies Inc - Class A;NYSE;Stock;26/06/2020;;Active
ACIC;American Coastal Insurance Corp;NASDAQ;Stock;07/11/2007;;Active
ACIU;AC Immune SA;NASDAQ;Stock;23/09/2016;;Active
ACIW;ACI Worldwide Inc;NASDAQ;Stock;27/02/1995;;Active
ACLS;Axcelis Technologies Inc;NASDAQ;Stock;11/07/2000;;Active
ACLX;Arcellx Inc;NASDAQ;Stock;04/02/2022;;Active
ACM;AECOM;NYSE;Stock;10/05/2007;;Active
ACMR;ACM Research Inc - Class A;NASDAQ;Stock;03/11/2017;;Active
ACN;Accenture plc - Class A;NYSE;Stock;19/07/2001;;Active
ACNB;ACNB Corp;NASDAQ;Stock;02/01/1996;;Active
ACNT;Ascent Industries Company;NASDAQ;Stock;03/12/1991;;Active
ACON;Aclarion Inc;NASDAQ;Stock;22/04/2022;;Active
ACONW;Aclarion Inc - Warrants (01/12/2026);NASDAQ;Stock;22/04/2022;;Active
ACOR;Acorda Therapeutics Inc;NASDAQ;Stock;10/02/2006;;Active
ACP-P-A;abrdn Income Credit Strategies Fund;NYSE;Stock;04/05/2021;;Active
ACR;ACRES Commercial Realty Corp;NYSE;Stock;07/02/2006;;Active
